1,2-diacylglycerol	CHEBI:52643	1,2-diacylglycerol 3-diphosphate
coprogen	CHEBI:83101	coprogen
cumene hydroperoxide	CHEBI:78673	cumene hydroperoxide
cyclic adenosine 3',5'-cyclophosphate	CHEBI:16335	adenosine
cyclic amp	CHEBI:60879	2',3'-cyclic AMP(1-)
cycloheximide	CHEBI:27641	cycloheximide
diethyl maleate (dem)	CHEBI:68508	diethyl maleate
difenoconazole	CHEBI:81760	difenoconazole
diniconazole	CHEBI:81913	diniconazole
di-phenylene iodonium (dpi)	CHEBI:50317	iodonium
dithionitrobenzoic acid (dtnb)	CHEBI:37527	acid
edta	CHEBI:64734	EDTA disodium salt (anhydrous)
eflornithine	CHEBI:4762	Eflornithine hydrochloride
epoxiconazole	CHEBI:4811	epoxiconazole
erythromycin	CHEBI:42355	erythromycin A
ethanol	CHEBI:16236	ethanol
ethyl methanesulfonate	CHEBI:25224	methanesulfonate
farnesol	CHEBI:28600	farnesol
fenhexamid	CHEBI:81853	fenhexamid
fenpropidin	CHEBI:81917	fenpropidin
ferric citrate	CHEBI:31605	Ferric citrate (59 Fe)
ferrichrome	CHEBI:5019	ferrichrome
ferrichrome	CHEBI:5019	ferrichrome
ferricrocin	CHEBI:64492	ferricrocin
ferulic acid	CHEBI:17620	ferulic acid
fluconazole	CHEBI:46081	fluconazole
fludioxonil	CHEBI:81763	fludioxonil
fludioxonil	CHEBI:81763	fludioxonil
fludioxonil [flu]	CHEBI:81763	fludioxonil
flutriafol	CHEBI:83708	(R)-flutriafol
galactose	CHEBI:28260	galactose
glucose	CHEBI:17234	glucose
glucose	CHEBI:17234	glucose
glucose-1-phosphate	CHEBI:83927	sodium 3-aminopropyl 2-acetamido-2-deoxy-alpha-D-glucose-1-phosphate
glucose-6-phosphate	CHEBI:75150	3-dehydro-D-glucose-6-phosphate
glycerol	CHEBI:17270	glycerol 2-phosphate
h2o2	CHEBI:79092	EC 1.11.2.* (oxidoreductase with H2O2 as acceptor, incorporating 1 O atom into product) inhibitor
hematoporphyrin	CHEBI:36162	hematoporphyrin
hydrogen peroxide	CHEBI:16240	hydrogen peroxide
hydrogen peroxide	CHEBI:16240	hydrogen peroxide
hydroxyurea	CHEBI:44423	hydroxyurea
hygromycin b	CHEBI:57971	hygromycin B(3+)
hypochlorous acid [hocl]	CHEBI:24757	hypochlorous acid
imazalil	CHEBI:5868	Imazalil nitrate
indole-3-acetic acid (iaa)	CHEBI:16411	indole-3-acetic acid
iprodione	CHEBI:28909	iprodione
iprodione	CHEBI:28909	iprodione
itraconazole	CHEBI:6076	itraconazole
ketoconazole	CHEBI:47519	cis-ketoconazole
l-arabinose	CHEBI:6182	aldehydo-L-arabinose
lignin	CHEBI:64476	syringal lignin
lithium	CHEBI:30145	lithium atom
lithium chloride	CHEBI:48607	lithium chloride
ll-37	CHEBI:81664	LL-37
lovastatin	CHEBI:40303	lovastatin
lysine	CHEBI:53078	N(6)-(2,4-dinitrophenyl)lysine
mannitol	CHEBI:29864	mannitol
menadione	CHEBI:28869	menadione
menadione	CHEBI:28869	menadione
menadione (mnd)	CHEBI:28869	menadione
metconazole	CHEBI:81773	metconazole
methotrexate	CHEBI:44185	methotrexate
methylene blue	CHEBI:6872	methylene blue
methyl glyoxal	CHEBI:34779	glyoxal
methyl methanesulfonate	CHEBI:25255	methyl methanesulfonate
methyl violo-gen	CHEBI:29309	methyl
micafungin	CHEBI:600520	micafungin
miconazole	CHEBI:6923	miconazole
miltefosine	CHEBI:75283	miltefosine
mitomycin c	CHEBI:27504	mitomycin C
n-(3,5-dichlorophenyl)succinimide [dim]	CHEBI:7087	N-(3,5-Dichlorophenyl)succinimide
na	CHEBI:63510	EC 3.6.3.9 (Na(+)/K(+)-transporting ATPase) inhibitor
n-acetylcysteine	CHEBI:78580	Aflatoxin B1 endo-N-acetylcysteine conjugate
naringenin	CHEBI:58292	(S)-naringenin(1-)
nickel	CHEBI:28112	nickel atom
nifurtimox	CHEBI:7566	Nifurtimox
nikkomycin	CHEBI:623918	nikkomycin Z
nikkomycin z	CHEBI:623918	nikkomycin Z
nikkomycin z	CHEBI:623918	nikkomycin Z
nisin	CHEBI:71629	nisin
nordihydroguaiaretic acid	CHEBI:7625	nordihydroguaiaretic acid
norfloxacin	CHEBI:100246	norfloxacin
novobiocin	CHEBI:71339	novobiocin(1-)
nystatin	CHEBI:7660	nystatin
oleic acid	CHEBI:16196	oleic acid
paraquat	CHEBI:34905	paraquat
paraquat	CHEBI:34905	paraquat
p -coumaric acid	CHEBI:23401	coumaric acid
p-coumaric acid	CHEBI:16099	4'-O-beta-D-glucosyl-cis-p-coumaric acid
pectin	CHEBI:17309	pectin
pectin and pga	CHEBI:17309	pectin
pheromone a1	CHEBI:26013	pheromone
pheromone a2	CHEBI:26013	pheromone
phloretin	CHEBI:17276	phloretin
phosphatidic acid	CHEBI:16337	phosphatidic acid
polymyxin b	CHEBI:8310	Polymyxin B sulfate
polymyxin b	CHEBI:8310	Polymyxin B sulfate
posaconazole	CHEBI:64355	posaconazole
potassium acetate	CHEBI:32029	potassium acetate
potassium chloride	CHEBI:32588	potassium chloride
prochloraz	CHEBI:8434	prochloraz
propiconazole	CHEBI:8489	propiconazole
pth2 gene expression induced by: glucose	CHEBI:17234	glucose
pyridoxine	CHEBI:16709	pyridoxine
quercetin	CHEBI:16243	quercetin
quinic acid	CHEBI:17521	(-)-quinic acid
resorcinol	CHEBI:27810	resorcinol
resveratrol	CHEBI:27881	resveratrol
rose bengal	CHEBI:52904	rose bengal(2-)
rose bengal	CHEBI:52904	rose bengal(2-)
rose bengal	CHEBI:52904	rose bengal(2-)
rotenone	CHEBI:28201	rotenone
scytalone	CHEBI:16945	scytalone
sirolimus	CHEBI:9168	sirolimus
s-nitrosoglutathione (gsno)	CHEBI:50091	S-nitrosoglutathione
sodium chloride	CHEBI:26710	sodium chloride
sodium chloride	CHEBI:26710	sodium chloride
sodium nitrite	CHEBI:78870	sodium nitrite
sodium nitroprusside	CHEBI:29321	sodium nitroprusside
sordarin	CHEBI:52549	sordarin
spiroxamine	CHEBI:9242	spiroxamine
sucrose	CHEBI:17992	sucrose
sucrose	CHEBI:17992	sucrose
tacrolimus	CHEBI:61049	tacrolimus (anhydrous)
tebuconazole	CHEBI:81781	tebuconazole
tert-butyl hydroperoxide	CHEBI:64090	tert-butyl hydroperoxide
tert-butyl hydroperoxide (t-bhp)	CHEBI:64090	tert-butyl hydroperoxide
tert-butyl hydroperoxide (t-booh)	CHEBI:64090	tert-butyl hydroperoxide
tetracycline	CHEBI:77932	tetracycline zwitterion
theophylline	CHEBI:28177	theophylline
thionin	CHEBI:52294	thionine acetate
trehalose	CHEBI:27084	trehalose phosphate
trehalose	CHEBI:27084	trehalose phosphate
triadimefon	CHEBI:9665	triadimefon
tricyclazole	CHEBI:81783	tricyclazole
tridemorph	CHEBI:9700	tridemorph
triolein	CHEBI:53753	triolein
unsaturated fatty acids	CHEBI:35366	fatty acid
urea	CHEBI:16199	urea
valinomycin	CHEBI:28545	valinomycin
vancomycin	CHEBI:76842	vancomycin(1+)
vancomycin	CHEBI:76842	vancomycin(1+)
vanillic acid	CHEBI:30816	vanillic acid
verapamil	CHEBI:9948	verapamil
voriconazole	CHEBI:10023	voriconazole
voriconazole	CHEBI:10023	voriconazole
wortmannin	CHEBI:52289	wortmannin
xylose	CHEBI:18222	xylose
zinc	CHEBI:27363	zinc atom
