"
chlorpromazine	CHEBI:3647	chlorpromazine
cholera toxin	CHEBI:27026	toxin
cianidanol
ciprofloxacin	CHEBI:100241	ciprofloxacin
cis-9-octadecen-1-ol
cobalt	CHEBI:27638	cobalt atom
congo red	CHEBI:34653	Congo Red
congo red (cr)	CHEBI:34653	Congo Red
copper	CHEBI:28694	copper atom
copper, ion (cu2+)
copper sulphate	CHEBI:121741	copper sulphate(5.H2O)
coprogen	CHEBI:83101	coprogen
cumene hydroperoxide	CHEBI:78673	cumene hydroperoxide
cumyl h2o2
cupric chloride anhydrous
cuso4
cyclic adenosine 3',5'-cyclophosphate	CHEBI:16335	adenosine
cyclic amp	CHEBI:60879	2',3'-cyclic AMP(1-)
cycloheximide	CHEBI:27641	cycloheximide
cyclosporine
dag (diacylglycerol)
desferri-coprogen
desferri-ferrichrome
diamide
difenoconazole	CHEBI:81760	difenoconazole
dimetachlone
diniconazole	CHEBI:81913	diniconazole
diphenyleneiodonium
di-phenylene iodonium (dpi)	CHEBI:50317	iodonium
ditiocarb sodium (detc)
dmso
driselase
d-sorbitol
early infection stage
eflornithine	CHEBI:4762	Eflornithine hydrochloride
epoxiconazole	CHEBI:4811	epoxiconazole
erythromycin	CHEBI:42355	erythromycin A
ethanol	CHEBI:16236	ethanol
ethyl methanesulfonate	CHEBI:25224	methanesulfonate
farnesol	CHEBI:28600	farnesol
fecl3
fenhexamid	CHEBI:81853	fenhexamid
fenpropidin	CHEBI:81917	fenpropidin
ferric citrate	CHEBI:31605	Ferric citrate (59 Fe)
ferrichrome	CHEBI:5019	ferrichrome
ferricrocin	CHEBI:64492	ferricrocin
ferulic acid	CHEBI:17620	ferulic acid
feso4
fluconazole	CHEBI:46081	fluconazole
fludioxonil	CHEBI:81763	fludioxonil
fludioxonil [flu]	CHEBI:81763	fludioxonil
flutriafol	CHEBI:83708	(R)-flutriafol
galactose	CHEBI:28260	galactose
gentian violet
glucanex
glucose	CHEBI:17234	glucose
glucose-1-phosphate	CHEBI:83927	sodium 3-aminopropyl 2-acetamido-2-deoxy-alpha-D-glucose-1-phosphate
glucose-6-phosphate	CHEBI:75150	3-dehydro-D-glucose-6-phosphate
glycerin
glycerol	CHEBI:17270	glycerol 2-phosphate
gramicidin d
h2o2	CHEBI:79092	EC 1.11.2.* (oxidoreductase with H2O2 as acceptor, incorporating 1 O atom into product) inhibitor
hematoporphyrin	CHEBI:36162	hematoporphyrin
homidium bromide
host surface (hard surface contact and ethylene)
hydrogen peroxide	CHEBI:16240	hydrogen peroxide
hydroxylamine-hcl
hydroxyurea	CHEBI:44423	hydroxyurea
hygromycin b	CHEBI:57971	hygromycin B(3+)
hypochlorous acid [hocl]	CHEBI:24757	hypochlorous acid
ibmx
imazalil	CHEBI:5868	Imazalil nitrate
indole-3-acetic acid (iaa)	CHEBI:16411	indole-3-acetic acid
indoleacetic acid (iaa)
iprodione	CHEBI:28909	iprodione
iron, ion (fe3+)
itraconazole	CHEBI:6076	itraconazole
kcl
ketoconazole	CHEBI:47519	cis-ketoconazole
ko2
l-arabinose	CHEBI:6182	aldehydo-L-arabinose
leptomycin b
lignin	CHEBI:64476	syringal lignin
lithium	CHEBI:30145	lithium atom
lithium chloride	CHEBI:48607	lithium chloride
lovastatin	CHEBI:40303	lovastatin
lysine	CHEBI:53078	N(6)-(2,4-dinitrophenyl)lysine
magnesium cation
magnesium cation (mg2+)
mannitol	CHEBI:29864	mannitol
menadione	CHEBI:28869	menadione
menadione (mnd)	CHEBI:28869	menadione
menadione sodium bisulfite anhydrous
metconazole	CHEBI:81773	metconazole
methotrexate	CHEBI:44185	methotrexate
methylene blue	CHEBI:6872	methylene blue
methyl glyoxal	CHEBI:34779	glyoxal
methyl methanesulfonate	CHEBI:25255	methyl methanesulfonate
methyl violo-gen	CHEBI:29309	methyl
micafungin	CHEBI:600520	micafungin
miconazole	CHEBI:6923	miconazole
miltefosine	CHEBI:75283	miltefosine
mncl2
msdef1 and rsafp2
muramidase [lysozyme]
mycophenolic acid (mpa)
n-(3,5-dichlorophenyl)succinimide [dim]	CHEBI:7087	N-(3,5-Dichlorophenyl)succinimide
na	CHEBI:63510	EC 3.6.3.9 (Na(+)/K(+)-transporting ATPase) inhibitor
n-acetyl-4-fluoro-3-phenyl-dl-alanine
nacl
nano2
naringenin	CHEBI:58292	(S)-naringenin(1-)
nickel	CHEBI:28112	nickel atom
nickel, ion (ni2+)
nifurtimox	CHEBI:7566	Nifurtimox
nikkomycin	CHEBI:623918	nikkomycin Z
nikkomycin z	CHEBI:623918	nikkomycin Z
norfloxacin	CHEBI:100246	norfloxacin
novobiocin	CHEBI:71339	novobiocin(1-)
nystatin	CHEBI:7660	nystatin
oleic acid	CHEBI:16196	oleic acid
olive oil
on host contact
osu-03012
paraffin
paraffin wax
paraquat	CHEBI:34905	paraquat
p -coumaric acid	CHEBI:23401	coumaric acid
p-coumaric acid	CHEBI:16099	4'-O-beta-D-glucosyl-cis-p-coumaric acid
pectin	CHEBI:17309	pectin
pectin and galacturonic acid
pectin and pga	CHEBI:17309	pectin
pheromone a1	CHEBI:26013	pheromone
pheromone a2	CHEBI:26013	pheromone
phloretin	CHEBI:17276	phloretin
phosphatidic acid	CHEBI:16337	phosphatidic acid
p-hydroxybenzaldehyde
pmsf (phenylmethylsulfonyl fluoride)
polymyxin b	CHEBI:8310	Polymyxin B sulfate
posaconazole	CHEBI:64355	posaconazole
potassium acetate	CHEBI:32029	potassium acetate
potassium antimonial tartrate (sbiii)
potassium chloride	CHEBI:32588	potassium chloride
potassium oxalate (koa)
potassium superoxide
potassium superoxide (ko2)
prochloraz	CHEBI:8434	prochloraz
propiconazole	CHEBI:8489	propiconazole
pth2 gene expression induced by: glucose	CHEBI:17234	glucose
quercetin	CHEBI:16243	quercetin
quinic acid	CHEBI:17521	(-)-quinic acid
quintozene [pcnb]
resorcinol	CHEBI:27810	resorcinol
resveratrol	CHEBI:27881	resveratrol
rifampin
rose bengal	CHEBI:52904	rose bengal(2-)
rose bengal (rb)
scytalone	CHEBI:16945	scytalone
sds
silver nitrate
sirolimus	CHEBI:9168	sirolimus
snailase
sodium chloride	CHEBI:26710	sodium chloride
sodium dodecyl sulphate
sodium lauryl sulfate
sodium lauryl sulfate (sds)
sodium nitrite	CHEBI:78870	sodium nitrite
sodium nitroprusside	CHEBI:29321	sodium nitroprusside
sorbitol
"sorbitol
sordarin	CHEBI:52549	sordarin
spiroxamine	CHEBI:9242	spiroxamine
strobilurin a
sucrose	CHEBI:17992	sucrose
tacrolimus	CHEBI:61049	tacrolimus (anhydrous)
tacrolimus [fk506]
t -butyl h2o2
t-butyl-peroxide
tebuconazole	CHEBI:81781	tebuconazole
tert-butyl hydroperoxide	CHEBI:64090	tert-butyl hydroperoxide
tert-butyl hydroperoxide (t-bhp)	CHEBI:64090	tert-butyl hydroperoxide
tert-butyl hydroperoxide (t-booh)	CHEBI:64090	tert-butyl hydroperoxide
tetracycline	CHEBI:77932	tetracycline zwitterion
theophylline	CHEBI:28177	theophylline
trehalose	CHEBI:27084	trehalose phosphate
triadimefon	CHEBI:9665	triadimefon
tricyclazole	CHEBI:81783	tricyclazole
tridemorph	CHEBI:9700	tridemorph
triolein	CHEBI:53753	triolein
tryptone
ﬂuconazole
unsaturated fatty acids	CHEBI:35366	fatty acid
urea	CHEBI:16199	urea
uv irradiation
valinomycin	CHEBI:28545	valinomycin
vancomycin	CHEBI:76842	vancomycin(1+)
vanillic acid	CHEBI:30816	vanillic acid
verapamil	CHEBI:9948	verapamil
voriconazole	CHEBI:10023	voriconazole
vu0359595
wortmannin	CHEBI:52289	wortmannin
xylose	CHEBI:18222	xylose
yeg
zinc	CHEBI:27363	zinc atom
zinc, elemental
znso4
zymolyase
α-tomatine
