New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Taxon	Disease	Host Taxon	Cotyledons	Tissue	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	CAS Registry IDs	ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Host Response	Experiment Specifications	Curators	Approver	Species Experts	PubMed IDs	Curation Date
PHI:I11	PHI:24	Q00903	Avenacinase gene		Beta-glucosidase (EC 3.2.1.21)	U35463	29850:Gaeumannomyces graminis		4564:Triticum	Monocot		GO:0008422:beta-glucosidase activity [GO:0008422]; GO:0030245: cellulose catabolic process [GO:0030245]		POO:0000003:unaffected pathogenicity	Penetration:No;Pre-penetration:No													ESO:0000001:gene disruption	Martin Urban,Rothamsted Research			7824933: Bowyer P, Clarke BR, Lunness P, Daniels MJ, Osbourn AE. (1995). "Host range of a plant pathogenic fungus determined by a saponin detoxifying enzyme." Science 267(5196): 371-374. 10.1126/science.7824933.	2015-04-18
PHI:I12	PHI:24	Q00903	Avenacinase gene		Beta-glucosidase (EC 3.2.1.21)	U35463	29850:Gaeumannomyces graminis		4498:Avena sativa (oat) 	Monocot		GO:0008422:beta-glucosidase activity [GO:0008422]; GO:0030245: cellulose catabolic process [GO:0030245]	GO:0009405(IMP):pathogenesis;GO:0044409:entry into host;GO:0044412:growth or development of symbiont in host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:No													ESO:0000001:gene disruption	Martin Urban,Rothamsted Research			7824933: Bowyer P, Clarke BR, Lunness P, Daniels MJ, Osbourn AE. (1995). "Host range of a plant pathogenic fungus determined by a saponin detoxifying enzyme." Science 267(5196): 371-374. 10.1126/science.7824933.	2015-04-18
PHI:I13	PHI:25	Q258K5	AVRLM1	avrLm1	AvrLm1 protein	AM084345	5022:Leptosphaeria maculans		3708:Brassica napus (rape) 	Dicot				POO:0000005:effector (plant avirulence determinant)														ESO:0000001:gene disruption	Thomas Baldwin;Alayne Cuzick,Rothamsted Research			16556221: Gout L, Fudal I, Kuhn ML, Blaise F, Eckert M, Cattolico L, Balesdent MH, Rouxel T. (2006). "Lost in the middle of nowhere: the AvrLm1 avirulence gene of the Dothideomycete Leptosphaeria maculans." Mol Microbiol 60(1): 67-80. 10.1111/j.1365-2958.2006.05076.x.	2015-04-18
PHI:I14	PHI:26	P28873	CaMDR1	MDR1;BMR	Benomyl/methotrexate resistance protein	X53823	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a		GO:0015238:drug transmembrane transporter activity [GO:0015238]; GO:0016021: integral component of membrane [GO:0016021]; GO:0046677: response to antibiotic [GO:0046677]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence														ESO:0000001:gene disruption	Thomas Baldwin			7591094: Becker JM, Henry LK, Jiang W, Koltin Y. (1995). "Reduced virulence of Candida albicans mutants affected in multidrug resistance." Infect Immun 63(11): 4515-4518. .	2015-04-18
PHI:I15	PHI:27	Q00368	CAP20	cap20	CAP20	U18061	5457:Glomerella cingulata		4081:Solanum lycopersicum (tomato) 	Dicot			GO:0009405(IMP):pathogenesis;GO:0044409:entry into host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:No	avocado surface wax												ESO:0000001:gene disruption	Thomas Baldwin;John Keon			7756829: Hwang CS, Flaishman MA, Kolattukudy PE. (1995). "Cloning of a gene expressed during appressorium formation by Colletotrichum gloeosporioides and a marked decrease in virulence by disruption of this gene." Plant Cell 7(2): 183-193. 10.1105/tpc.7.2.183.	2015-04-18
PHI:I16	PHI:27	Q00368	CAP20	cap20	CAP20	U18061	5457:Glomerella cingulata		3435:Persea americana (avocado) 	n\a			GO:0009405(IMP):pathogenesis;GO:0044409:entry into host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:No	avocado surface wax												ESO:0000001:gene disruption	Thomas Baldwin;John Keon			7756829: Hwang CS, Flaishman MA, Kolattukudy PE. (1995). "Cloning of a gene expressed during appressorium formation by Colletotrichum gloeosporioides and a marked decrease in virulence by disruption of this gene." Plant Cell 7(2): 183-193. 10.1105/tpc.7.2.183.	2015-04-18
PHI:I17	PHI:31	P30573	CHS3	CHS3	Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)	D13454	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a		GO:0030428:cell septum [GO:0030428]; GO:0006038: cellular response to mechanical stimulus [GO:0071260]; GO:0071555: cell wall chitin biosynthetic process [GO:0006038]; GO:0071260: cell wall organization [GO:0071555]; GO:0004100: chitin synthase activity [GO:0004100]; GO:0030448: hyphal growth [GO:0030448]; GO:0016021: integral component of membrane [GO:0016021]; GO:0009405: pathogenesis [GO:0009405]; GO:0005886: plasma membrane [GO:0005886]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence														ESO:0000001:gene disruption	Thomas Baldwin			7479842: Bulawa CE, Miller DW, Henry LK, Becker JM. (1995). "Attenuated virulence of chitin-deficient mutants of Candida albicans." Proc Natl Acad Sci U S A 92(23): 10570-10574. 10.1073/pnas.92.23.10570.	2015-04-18
PHI:I18	PHI:33	P43076	PHR1	PHR1;CaO19.11310;CaO19.3829	pH-responsive protein 1 (pH-regulated protein 1)	M90812;AACQ01000057;AACQ01000056	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a		GO:0031225:anchored component of membrane [GO:0031225]; GO:0005975: carbohydrate metabolic process [GO:0005975]; GO:0005886: plasma membrane [GO:0005886]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence														ESO:0000001:gene disruption	Thomas Baldwin			7591097: Ghannoum MA, Spellberg B, Saporito-Irwin SM, Fonzi WA. (1995). "Reduced virulence of Candida albicans PHR1 mutants." Infect Immun 63(11): 4528-4530. .;7823929: Saporito-Irwin SM, Birse CE, Sypherd PS, Fonzi WA. (1995). "PHR1, a pH-regulated gene of Candida albicans, is required for morphogenesis." Mol Cell Biol 15(2): 601-613. .	2015-04-18
PHI:I19	PHI:36	Q01143	CPKA	cpkA	CAMP-dependent protein kinase catalytic subunit	U12335	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot		GO:0005524:ATP binding [GO:0005524]; GO:0004674: protein serine/threonine kinase activity [GO:0004674]	GO:0009405(IMP):pathogenesis;GO:0044409(IMP):entry into host;GO:0044412(IMP):growth or development of symbiont in host	POO:0000001:loss of pathogenicity	Vegetative Spores:Wild Type;Spore Germination:Wild Type;Pre-penetration:Yes;Penetration:Yes;Sexual Spores:Wild Type;In Vitro Growth:Wild Type													ESO:0000002:gene deletion	Martin Urban,Rothamsted Research			11006342: Thines E, Weber RW, Talbot NJ. (2000). "MAP kinase and protein kinase A-dependent mobilization of triacylglycerol and glycogen during appressorium turgor generation by Magnaporthe grisea." Plant Cell 12(9): 1703-1718. 10.1105/tpc.12.9.1703.;8535140: Mitchell TK, Dean RA. (1995). "The cAMP-dependent protein kinase catalytic subunit is required for appressorium formation and pathogenesis by the rice blast pathogen Magnaporthe grisea." Plant Cell 7(11): 1869-1878. 10.1105/tpc.7.11.1869.	2015-04-18
PHI:I20	PHI:37	Q99129	MYP1	myp1	Myp1	L33919	5270:Ustilago maydis		4577:Zea mays	Monocot		GO:0034599:cellular response to oxidative stress [GO:0034599]; GO:0005789: endoplasmic reticulum membrane [GO:0005789]	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence	Mating Defect:No													ESO:0000002:gene deletion	Thomas Baldwin			8647387: Giasson L, Kronstad JW. (1995). "Mutations in the myp1 gene of Ustilago maydis attenuate mycelial growth and virulence." Genetics 141(2): 491-501. .	2015-04-18
PHI:I21	PHI:38	Q02039	NIP1	nip1	NIP1 (NIP1 avirulence protein) (NIP1 type I)	U20363;AY507713;AY507714;AY507716;AY507718;AY507719;AY507721;AY507723;AY507728;AY507734;AY507740;AY507746;AY507752;AY507768;AY507769;AY507771;AY507773;AY507774;AY507777;AY507778;AY507780;AY507781;AY507782;AY507785;AY507787;AY507791;AY507792;AY507793;AY507794;AY507795;AY507796;AY507797;AY507799;AY507801;AY507802;AY507804;AY507807;AY507809;AY507831;EF683095	38038:Rhynchosporium secalis		112509:Hordeum vulgare subsp. vulgare (domesticated barley) 	Monocot				POO:0000005:effector (plant avirulence determinant)														ESO:0000010:other evidence	Martin Urban,Rothamsted Research			10497070: Gierlich A, van 't Slot KA, Li VM, Marie C, Hermann H, Knogge W. (1999). "Heterologous expression of the avirulence gene product, NIP1, from the barley pathogen Rhynchosporium secalis." Protein Expr Purif 17(1): 64-73. 10.1006/prep.1999.1098.;12944393: van't Slot KA, van den Burg HA, Kloks CP, Hilbers CW, Knogge W, Papavoine CH. (2003). "Solution structure of the plant disease resistance-triggering protein NIP1 from the fungus Rhynchosporium secalis shows a novel beta-sheet fold." J Biol Chem 278(46): 45730-45736. 10.1074/jbc.m308304200.;15497404: Schürch S, Linde CC, Knogge W, Jackson LF, McDonald BA. (2004). "Molecular population genetic analysis differentiates two virulence mechanisms of the fungal avirulence gene NIP1." Mol Plant Microbe Interact 17(10): 1114-1125. .;7556057: Rohe M, Gierlich A, Hermann H, Hahn M, Schmidt B, Rosahl S, Knogge W. (1995). "The race-specific elicitor, NIP1, from the barley pathogen, Rhynchosporium secalis, determines avirulence on host plants of the Rrs1 resistance genotype." EMBO J 14(17): 4168-4177. .	2015-04-18
PHI:I22	PHI:39	Q6Q475	GP42 (PEP13)		Transglutaminase elicitor (EC 2.3.2.13)	AY560897	67593:Phytophthora sojae		4043:Petroselinum crispum (parsley) 	Dicot		GO:0003810:protein-glutamine gamma-glutamyltransferase activity [GO:0003810]	GO:0003810(IDA):protein-glutamine gamma-glutamyltransferase activity	POO:0000003:unaffected pathogenicity														ESO:0000010:other evidence	Martin Urban,Rothamsted Research;Sabrina Holland			12485989: Brunner F, Rosahl S, Lee J, Rudd JJ, Geiler C, Kauppinen S, Rasmussen G, Scheel D, Nürnberger T. (2002). "Pep-13, a plant defense-inducing pathogen-associated pattern from Phytophthora transglutaminases." EMBO J 21(24): 6681-6688. 10.1093/emboj/cdf667.;7892267: Nürnberger T, Nennstiel D, Hahlbrock K, Scheel D. (1995). "Covalent cross-linking of the Phytophthora megasperma oligopeptide elicitor to its receptor in parsley membranes." Proc Natl Acad Sci U S A 92(6): 2338-2342. 10.1073/pnas.92.6.2338.	2015-04-18
PHI:I23	PHI:40	P79068	PKS1	PKS1	Polyketide synthase	D83643	5462:Colletotrichum lagenaria		3659:Cucumis sativus (cucumber) 	Dicot		GO:0009058:biosynthetic process [GO:0009058]; GO:0016788: hydrolase activity, acting on ester bonds [GO:0016788]; GO:0016740: transferase activity [GO:0016740]	GO:0009405(IMP):pathogenesis;GO:0044409(IMP):entry into host;GO:0042438:melanin biosynthetic process	POO:0000002:reduced virulence	Penetration:Yes;Pre-penetration:Yes													ESO:0000007:gene complementation	Martin Urban,Rothamsted Research			10501004: Fujii I, Mori Y, Watanabe A, Kubo Y, Tsuji G, Ebizuka Y. (1999). "Heterologous expression and product identification of Colletotrichum lagenarium polyketide synthase encoded by the PKS1 gene involved in melanin biosynthesis." Biosci Biotechnol Biochem 63(8): 1445-1452. 10.1271/bbb.63.1445.;7500937: Takano Y, Kubo Y, Shimizu K, Mise K, Okuno T, Furusawa I. (1995). "Structural analysis of PKS1, a polyketide synthase gene involved in melanin biosynthesis in Colletotrichum lagenarium." Mol Gen Genet 249(2): 162-167. 10.1007/bf00290362.	2015-04-18
PHI:I24	PHI:41	Q01145	PWL1	Pwl1	Pwl1 protein	U36923	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot				POO:0000005:effector (plant avirulence determinant)														ESO:0000007:gene complementation	Martin Urban,Rothamsted Research;Thomas Baldwin			8664503: Kang S, Sweigard JA, Valent B. (1995). "The PWL host specificity gene family in the blast fungus Magnaporthe grisea." Mol Plant Microbe Interact 8(6): 939-948. .	2015-04-18
PHI:I25	PHI:42	Q01144	PWL2	PWL2	Pwl2 protein	U26313	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot				POO:0000005:effector (plant avirulence determinant)														ESO:0000007:gene complementation	Martin Urban,Rothamsted Research			7549480: Sweigard JA, Carroll AM, Kang S, Farrall L, Chumley FG, Valent B. (1995). "Identification, cloning, and characterization of PWL2, a gene for host species specificity in the rice blast fungus." Plant Cell 7(8): 1221-1233. 10.1105/tpc.7.8.1221.	2015-04-18
PHI:I26	PHI:44	Q8NJV0	TRI5	Tri5	Trichodiene synthetase	AF508152	229533:Fusarium graminearum PH-1		4498:Avena sativa (oat) 	Monocot		GO:0016106:sesquiterpenoid biosynthetic process [GO:0016106]; GO:0045482: trichodiene synthase activity [GO:0045482]	GO:0045482:trichodiene synthase activity	POO:0000003:unaffected pathogenicity	Penetration:No;Pre-penetration:No														Martin Urban,Rothamsted Research;Andrew Beacham		Martin Urban	10931910: Desjardins AE, Bai G, Plattner RD, Proctor RH. (2000). "Analysis of aberrant virulence of Gibberella zeae following transformation-mediated complementation of a trichothecene-deficient (Tri5) mutant." Microbiology 146 ( Pt 8)(): 2059-2068. .;8589414: Proctor RH, Hohn TM, McCormick SP. (1995). "Reduced virulence of Gibberella zeae caused by disruption of a trichothecene toxin biosynthetic gene." Mol Plant Microbe Interact 8(4): 593-601. .;9274012: Proctor RH, Hohn TM, McCormick SP. (1997). "Restoration of wild-type virulence to Tri5 disruption mutants of Gibberella zeae via gene reversion and mutant complementation." Microbiology 143 ( Pt 8)(): 2583-2591. .	2015-04-18
