CHEBI:18320	1,4-dithiothreitol (dtt)	1,4-dithiothreitol
CHEBI:83927	glucose-1-phosphate	sodium 3-aminopropyl 2-acetamido-2-deoxy-alpha-D-glucose-1-phosphate
CHEBI:75150	glucose-6-phosphate	3-dehydro-D-glucose-6-phosphate
CHEBI:17270	glycerol	glycerol 2-phosphate
CHEBI:79092	h2o2	EC 1.11.2.* (oxidoreductase with H2O2 as acceptor, incorporating 1 O atom into product) inhibitor
CHEBI:36162	hematoporphyrin	hematoporphyrin
CHEBI:16240	hydrogen peroxide	hydrogen peroxide
CHEBI:44423	hydroxyurea	hydroxyurea
CHEBI:57971	hygromycin b	hygromycin B(3+)
CHEBI:24757	hypochlorous acid [hocl]	hypochlorous acid
CHEBI:5868	imazalil	Imazalil nitrate
CHEBI:16411	indole-3-acetic acid (iaa)	indole-3-acetic acid
CHEBI:28909	iprodione	iprodione
CHEBI:6076	itraconazole	itraconazole
CHEBI:47519	ketoconazole	cis-ketoconazole
CHEBI:6182	l-arabinose	aldehydo-L-arabinose
CHEBI:64476	lignin	syringal lignin
CHEBI:30145	lithium	lithium atom
CHEBI:48607	lithium chloride	lithium chloride
CHEBI:40303	lovastatin	lovastatin
CHEBI:53078	lysine	N(6)-(2,4-dinitrophenyl)lysine
CHEBI:29864	mannitol	mannitol
CHEBI:28869	menadione	menadione
CHEBI:28869	menadione (mnd)	menadione
CHEBI:81773	metconazole	metconazole
CHEBI:44185	methotrexate	methotrexate
CHEBI:6872	methylene blue	methylene blue
CHEBI:34779	methyl glyoxal	glyoxal
CHEBI:25255	methyl methanesulfonate	methyl methanesulfonate
CHEBI:29309	methyl violo-gen	methyl
CHEBI:600520	micafungin	micafungin
CHEBI:6923	miconazole	miconazole
CHEBI:75283	miltefosine	miltefosine
CHEBI:7087	n-(3,5-dichlorophenyl)succinimide [dim]	N-(3,5-Dichlorophenyl)succinimide
CHEBI:63510	na	EC 3.6.3.9 (Na(+)/K(+)-transporting ATPase) inhibitor
CHEBI:58292	naringenin	(S)-naringenin(1-)
CHEBI:28112	nickel	nickel atom
CHEBI:7566	nifurtimox	Nifurtimox
CHEBI:623918	nikkomycin	nikkomycin Z
CHEBI:623918	nikkomycin z	nikkomycin Z
CHEBI:100246	norfloxacin	norfloxacin
CHEBI:71339	novobiocin	novobiocin(1-)
CHEBI:7660	nystatin	nystatin
CHEBI:16196	oleic acid	oleic acid
CHEBI:34905	paraquat	paraquat
CHEBI:23401	p -coumaric acid	coumaric acid
CHEBI:16099	p-coumaric acid	4'-O-beta-D-glucosyl-cis-p-coumaric acid
CHEBI:17309	pectin	pectin
CHEBI:17309	pectin and pga	pectin
CHEBI:26013	pheromone a1	pheromone
CHEBI:26013	pheromone a2	pheromone
CHEBI:17276	phloretin	phloretin
CHEBI:16337	phosphatidic acid	phosphatidic acid
CHEBI:8310	polymyxin b	Polymyxin B sulfate
CHEBI:64355	posaconazole	posaconazole
CHEBI:32029	potassium acetate	potassium acetate
CHEBI:32588	potassium chloride	potassium chloride
CHEBI:8434	prochloraz	prochloraz
CHEBI:8489	propiconazole	propiconazole
CHEBI:17234	pth2 gene expression induced by: glucose	glucose
CHEBI:16243	quercetin	quercetin
CHEBI:17521	quinic acid	(-)-quinic acid
CHEBI:27810	resorcinol	resorcinol
CHEBI:27881	resveratrol	resveratrol
CHEBI:52904	rose bengal	rose bengal(2-)
CHEBI:16945	scytalone	scytalone
CHEBI:9168	sirolimus	sirolimus
CHEBI:26710	sodium chloride	sodium chloride
CHEBI:78870	sodium nitrite	sodium nitrite
CHEBI:29321	sodium nitroprusside	sodium nitroprusside
CHEBI:52549	sordarin	sordarin
CHEBI:9242	spiroxamine	spiroxamine
CHEBI:17992	sucrose	sucrose
CHEBI:61049	tacrolimus	tacrolimus (anhydrous)
CHEBI:81781	tebuconazole	tebuconazole
CHEBI:64090	tert-butyl hydroperoxide	tert-butyl hydroperoxide
CHEBI:64090	tert-butyl hydroperoxide (t-bhp)	tert-butyl hydroperoxide
CHEBI:64090	tert-butyl hydroperoxide (t-booh)	tert-butyl hydroperoxide
CHEBI:77932	tetracycline	tetracycline zwitterion
CHEBI:28177	theophylline	theophylline
CHEBI:27084	trehalose	trehalose phosphate
CHEBI:9665	triadimefon	triadimefon
CHEBI:81783	tricyclazole	tricyclazole
CHEBI:9700	tridemorph	tridemorph
CHEBI:53753	triolein	triolein
CHEBI:35366	unsaturated fatty acids	fatty acid
CHEBI:16199	urea	urea
CHEBI:28545	valinomycin	valinomycin
CHEBI:76842	vancomycin	vancomycin(1+)
CHEBI:30816	vanillic acid	vanillic acid
CHEBI:9948	verapamil	verapamil
CHEBI:10023	voriconazole	voriconazole
CHEBI:52289	wortmannin	wortmannin
CHEBI:18222	xylose	xylose
CHEBI:27363	zinc	zinc atom
