PHI-base accession no	PHI-base accession	DB_Type	Accession	Locus ID	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Literature ID	Literature source	DOI	Comments
904	PHI:904	Uniprot	Q4PCH1	um02192	521	um02192			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 5A of secreted proteins. Three genes predicted in cluster 5A
905	PHI:905	Uniprot	Q4PCH0	um02193	521	um02193			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 5A of secreted proteins. Three genes predicted in cluster 5A
906	PHI:906	Uniprot	Q4PCG9	um02194	521	um02194			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 5A of secreted proteins. Three genes predicted in cluster 5A
907	PHI:907	Uniprot	Q4PBP0	um02473	521	um02473			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Loss of pathogenicity 			Yes										gene deletion; complementation		KHK; MU	17080091	PubMed	10.1038/nature05248	Growth arrest early during penetration of epidemis. Gene located in cluster 5B of secreted proteins. Three genes predicted in cluster 5B.
908	PHI:908	Uniprot	Q4PBN9	um02474	521	um02474			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Loss of pathogenicity 			Yes										gene deletion; complementation		KHK; MU	17080091	PubMed	10.1038/nature05248	Growth arrest early during penetration of epidemis. Gene located in cluster 5B of secreted proteins. Three genes predicted in cluster 5B.
909	PHI:909	Uniprot	Q4PBN8	um02475	521	um02475			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Loss of pathogenicity 			Yes										gene deletion; complementation		KHK; MU	17080091	PubMed	10.1038/nature05248	Growth arrest early during penetration of epidemis. Gene located in cluster 5B of secreted proteins. Three genes predicted in cluster 5B.
910	PHI:910	Uniprot	Q4PBI0	um02533	521	um02533			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced. Gene located in cluster 6A of secreted proteins. Eight genes predicted in cluster 6A.
911	PHI:911	NULL	um11451	um11451	521	um11451			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	related to COP9 signalosome complex subunit 6				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced. Gene located in cluster 6A of secreted proteins. Eight genes predicted in cluster 6A.
912	PHI:912	Uniprot	Q4PBH8	um02535	521	um02535			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced. Gene located in cluster 6A of secreted proteins. Eight genes predicted in cluster 6A.
913	PHI:913	NULL	um11416	um11416	521	um11416			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced. Gene located in cluster 6A of secreted proteins. Eight genes predicted in cluster 6A.
914	PHI:914	Uniprot	Q4PBH6	um02537	521	um02537			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced. Gene located in cluster 6A of secreted proteins. Eight genes predicted in cluster 6A.
915	PHI:915	Uniprot	Q4PBH5	um02538	521	um02538			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced. Gene located in cluster 6A of secreted proteins. Eight genes predicted in cluster 6A.
916	PHI:916	NULL	um11417	um11417	521	um11417			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced. Gene located in cluster 6A of secreted proteins. Eight genes predicted in cluster 6A.
917	PHI:917	Uniprot	Q4PBH3	um02540	521	um02540			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced. Gene located in cluster 6A of secreted proteins. Eight genes predicted in cluster 6A.
918	PHI:918	Uniprot	Q4P9L2	um03201	521	um03201			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 8A of secreted proteins. Three genes predicted in cluster 8A
919	PHI:919	Uniprot	Q4P9L1	um03202	521	um03202			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 8A of secreted proteins. Three genes predicted in cluster 8A
920	PHI:920	NULL	um10403	um10403	521	um10403			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 8A of secreted proteins. Three genes predicted in cluster 8A
921	PHI:921	Uniprot	Q4P8E9	um03614	521	um03614			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 9A of secreted proteins. Three genes predicted in cluster 9A
922	PHI:922	Uniprot	Q4P8E8	um03615	521	um03615			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	related to Glucose oxidase				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 9A of secreted proteins. Three genes predicted in cluster 9A
923	PHI:923	Uniprot	Q4P8E7	um03616	521	um03616			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	related to DCR2 - dosage-dependent cell cycle regulator				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 9A of secreted proteins. Three genes predicted in cluster 9A
924	PHI:924	Uniprot	Q4P819	um03744	521	um03744			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
925	PHI:925	Uniprot	Q4P818	um03745	521	um03745			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
926	PHI:926	Uniprot	Q4P817	um03746	521	um03746			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
927	PHI:927	Uniprot	Q4P816	um03747	521	um03747			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
928	PHI:928	Uniprot	Q4P815	um03748	521	um03748			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
929	PHI:929	Uniprot	Q4P814	um03749	521	um03749			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
930	PHI:930	Uniprot	Q4P813	um03750	521	um03750			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
931	PHI:931	Uniprot	Q4P812	um03751	521	um03751			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
932	PHI:932	Uniprot	Q4P811	um03752	521	um03752			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
933	PHI:933	Uniprot	Q4P810	um03753	521	um03753			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes									gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Incidence and size of tumours reduced.Gene located in cluster 10A of secreted proteins. Ten genes predicted in cluster 10A
934	PHI:934	Uniprot	G0X877	um05294	521	um05294			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
935	PHI:935	Uniprot	G0X863	um05295	521	um05295			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
936	PHI:936	Uniprot	G0X7F0	um12302	521	um12302			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
937	PHI:937	Uniprot	G0X7P5	um10553	521	um10553			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
938	PHI:938	Uniprot	G0X7N7	um10554	521	um10554			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
939	PHI:939	Uniprot	G0X854	um05299	521	um05299			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
940	PHI:940	Uniprot	G0X847	um05300	521	um05300			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
941	PHI:941	Uniprot	G3CK64	um05301	521	um05301			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
942	PHI:942	Uniprot	G0X840	um05302	521	um05302			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
943	PHI:943	Uniprot	G0X828	um05303	521	um05303			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
944	PHI:944	Uniprot	G0X7M7	um10555	521	um10555			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
945	PHI:945	Uniprot	G0X815	um05305	521	um05305			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
946	PHI:946	Uniprot	G0X806	um05306	521	um05306			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
947	PHI:947	Uniprot	G0X7L8	um10556	521	um10556			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
948	PHI:948	Uniprot	G0X801	um05308	521	um05308			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
949	PHI:949	Uniprot	G3CK59	um05309	521	um05309			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
950	PHI:950	Uniprot	G0X7Z5	um05310	521	um05310			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
951	PHI:951	Uniprot	G0X7Y7	um05311	521	um05311			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
952	PHI:952	Uniprot	G0X7X3	um05312	521	um05312			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
953	PHI:953	Uniprot	G0X7W8	um05313	521	um05313			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
954	PHI:954	Uniprot	G0X7V8	um05314	521	um05314			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
955	PHI:955	Uniprot	G0X7K9	um10557	521	um10557			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
956	PHI:956	Uniprot	G0X7U3	um05316	521	um05316			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	related to transposase, pseudogene				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
957	PHI:957	Uniprot	G0X7T6	um05317	521	um05317			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
958	PHI:958	Uniprot	G0X7S7	um05318	521	um05318			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
959	PHI:959	Uniprot	G0X7S0	um05319	521	um05319			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	conserved hypothetical Ustilago-specific protein				Reduced virulence				Yes		Defective							gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Able to grow inside host tissue, fails to induce large tumours and is defective in teleospore formation. Gene located in cluster 19A of secreted proteins.Twenty six genes predicted in cluster 19A
960	PHI:960	Uniprot	Q4P0Z2	um06221	521	um06221			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 22A of secreted proteins. Three genes predicted in cluster 22A
961	PHI:961	Uniprot	Q4P0Z1	um06222	521	um06222			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 22A of secreted proteins. Three genes predicted in cluster 22A
962	PHI:962	Uniprot	Q4P0Z0	um06223	521	um06223			5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	hypothetical protein				Unaffected pathogenicity													gene deletion		KHK; MU	17080091	PubMed	10.1038/nature05248	Gene located in cluster 22A of secreted proteins. Three genes predicted in cluster 22A
963	PHI:963	Entrez Protein	AAA25725			avrA			317	Pseudomonas syringae		Bacterial blight	Dicot	3847	Soybean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	3027035	PubMed		Pseudomonas syringaepv glycinea
964	PHI:964	Entrez Protein	AAA25726		race 4	avrB1			317	Pseudomonas syringae	race 4	Bacterial blight	Dicot	3847	Soybean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	3049552	PubMed		Pseudomonas syringaepv glycinea
965	PHI:965	Entrez Protein	AAA88428		race 4	avrB2			317	Pseudomonas syringae	race 4	Bacterial blight	Dicot	3847	Soybean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	3049552	PubMed		Pseudomonas syringaepv glycinea
966	PHI:966	Entrez Protein	AAA83419		NPS3121	avrB2			317	Pseudomonas syringae	NPS3121	Halo blight	Dicot	3847	Soybean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	7949327	PubMed		Pseudomonas syringaepv phaseolicola 
967	PHI:967	Entrez Protein	AAF71496	Psyr_1219	B728A	avrB3			317	Pseudomonas syringae	B728A	Brown spot	Dicot	4097	Tobacco	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	10781092; 16942603	PubMed		Pseudomonas syringaepv syringae
968	PHI:968	Entrez Protein	AAX12108	PSPPH_3028	race 6-1448A	avrB4-1			317	Pseudomonas syringae	race 6-1448A	Halo blight	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	15701698	PubMed		Pseudomonas syringaepv phaseolicola 
969	PHI:969	Entrez Protein	AAB53624		PT23	avrD1			317	Pseudomonas syringae	PT23	Bacterial speck	Dicot	3847	Soybean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	2132028	PubMed		Pseudomonas syringaepv tomato
970	PHI:970	Entrez Protein	AAB53624		race 1	avrD1			317	Pseudomonas syringae	race 1	Bacterial blight	Dicot	3847	Soybean	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	9100386	PubMed		Pseudomonas syringaepv glycinea
971	PHI:971	Entrez Protein	AAB53625		race 3	avrD1			317	Pseudomonas syringae	race 3	Bacterial blight	Dicot	3847	Soybean	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	9100386	PubMed		Pseudomonas syringaepv glycinea
972	PHI:972	Entrez Protein	AAB53625		race 6	avrD1			317	Pseudomonas syringae	race 6	Bacterial blight	Dicot	3847	Soybean	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	9100386	PubMed		Pseudomonas syringaepv glycinea
973	PHI:973	Entrez Protein	AAC43431		PT23	avrE1			317	Pseudomonas syringae	PT23	Bacterial speck	Dicot	 4100	Nicotiana benthamiana	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	 16529372	PubMed		Pseudomonas syringaepv tomato
973	PHI:973	Entrez Protein	AAC43431		PT23	avrE1			317	Pseudomonas syringae	PT23	Bacterial speck	Dicot	4097	Tobacco	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	 16529372	PubMed		Pseudomonas syringaepv tomato
974	PHI:974	Entrez Protein	AAA25728		JL1065	avrPto1			317	Pseudomonas syringae	JL1065	Bacterial speck	Dicot	4081	Tomato	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	1537802	PubMed		Pseudomonas syringaepv tomato
975	PHI:975	Entrez Protein	AAO57459	PSPTO_4001	DC3000	avrPto1			317	Pseudomonas syringae	DC3000	Bacterial speck	Dicot	4081	Tomato	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	10438746	PubMed		Pseudomonas syringaepv tomato
976	PHI:976	Entrez Protein	AAY39946	Psyr_4919	B728A	avrPto1			317	Pseudomonas syringae	B728A	Brown spot	Dicot	4081	Tomato	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	12615215; 16391110	PubMed		Pseudomonas syringaepv syringae
977	PHI:977	Entrez Protein	CAA48009		M2	avrRpm1			317	Pseudomonas syringae	M2	Bacterial leaf spot	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	1477552	PubMed		Pseudomonas syringaepv maculicola
978	PHI:978	Entrez Protein	AAB51082		151	avrRps4			317	Pseudomonas syringae	151	Bacterial blight	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	8589423	PubMed		Pseudomonas syringaepv pisi
979	PHI:979	Entrez Protein	AAA71943		JL1065	avrRpt2			317	Pseudomonas syringae	JL1065	Bacterial speck	Dicot	3702	Arabidopsis thaliana	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	8335641	PubMed		Pseudomonas syringaepv tomato
979	PHI:979	Entrez Protein	AAA71943		JL1065	avrRpt2			317	Pseudomonas syringae	JL1065	Bacterial speck	Dicot	3885	Bean	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	8335641	PubMed		Pseudomonas syringaepv tomato
979	PHI:979	Entrez Protein	AAA71943		JL1065	avrRpt2			317	Pseudomonas syringae	JL1065	Bacterial speck	Dicot	3847	soybean	effector				Effector (plant avirulence determinant)													gene deletion; complementation	ML	ML	8335641	PubMed		Pseudomonas syringaepv tomato
980	PHI:980	Entrez Protein	AAF71481		61	hopA1			317	Pseudomonas syringae	61		Dicot	4097	Tobacco	effector				Effector (plant avirulence determinant)												Hypersensitive reaction	gene deletion; complementation	ML	ML	8274770; 9204563	PubMed		Pseudomonas syringaepv syringae
